2020-12-01 00:08:38;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:09:36;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:10:31;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:11:26;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:12:20;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:13:15;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:14:10;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:15:05;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:16:00;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:16:55;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:17:50;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:18:45;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:19:40;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:20:35;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:21:31;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:22:25;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:23:20;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:24:15;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:25:10;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:26:06;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:27:01;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:27:56;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:28:51;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:29:45;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:30:40;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
2020-12-01 00:31:36;Chapecoense;Cuiabá;Confiança;Figueirense;CRB;CSA;Nautico PE;Guarani;2,15;2,87;3,75;1,61;3,50;5,75;3,00;2,87;2,50;2,62;3,00;2,70;
