2020-11-30 00:51:28;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:52:24;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:53:19;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:54:14;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:55:09;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:56:04;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:57:00;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:57:55;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:58:50;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 00:59:46;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:00:41;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:01:37;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:02:33;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:03:29;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:04:25;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:05:20;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:06:16;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:07:11;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:08:07;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:09:02;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:09:58;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:10:53;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:11:49;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:12:44;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:13:40;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:14:36;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:15:32;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:16:28;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:17:23;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:18:19;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:19:15;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
2020-11-30 01:20:10;Grêmio;Goiás;Vasco da Gama;Ceará;Fluminense;Bragantino;1,35;4,50;9,00;2,60;2,90;2,90;2,60;3,10;2,75;
